orig_name,new_name_group,new_name_stem,new_name
MICRO_amr_actual_species_co_amoxiclav_count_last_365d,Micro,Count of specific species isolates with co-amoxiclav resistance in last year,Micro: Count of specific species isolates with co-amoxiclav resistance in last year
MICRO_amr_actual_species_co_amoxiclav_time_last_365d,Micro,Time since last specific species isolate with resistance to co-amoxiclav,Micro: Time since last specific species isolate with resistance to co-amoxiclav
MICRO_amr_actual_species_co_trimoxazole_count_last_365d,Micro,Count of specific species isolates with co-trimoxazole resistance in last year,Micro: Count of specific species isolates with co-trimoxazole resistance in last year
MICRO_amr_actual_species_co_trimoxazole_time_last_365d,Micro,Time since last specific species isolate with resistance to co-trimoxazole,Micro: Time since last specific species isolate with resistance to co-trimoxazole
MICRO_amr_actual_species_ertapenem_count_last_365d,Micro,Count of specific species isolates with ertapenem resistance in last year,Micro: Count of specific species isolates with ertapenem resistance in last year
MICRO_amr_actual_species_ertapenem_time_last_365d,Micro,Time since last specific species isolate with resistance to ertapenem,Micro: Time since last specific species isolate with resistance to ertapenem
MICRO_amr_actual_species_gentamicin_count_last_365d,Micro,Count of specific species isolates with gentamicin resistance in last year,Micro: Count of specific species isolates with gentamicin resistance in last year
MICRO_amr_actual_species_gentamicin_time_last_365d,Micro,Time since last specific species isolate with resistance to gentamicin,Micro: Time since last specific species isolate with resistance to gentamicin
MICRO_amr_actual_species_meropenem_count_last_365d,Micro,Count of specific species isolates with meropenem resistance in last year,Micro: Count of specific species isolates with meropenem resistance in last year
MICRO_amr_actual_species_meropenem_time_last_365d,Micro,Time since last specific species isolate with resistance to meropenem,Micro: Time since last specific species isolate with resistance to meropenem
MICRO_amr_actual_species_nitrofurantoin_count_last_365d,Micro,Count of specific species isolates with nitrofurantoin resistance in last year,Micro: Count of specific species isolates with nitrofurantoin resistance in last year
MICRO_amr_actual_species_nitrofurantoin_time_last_365d,Micro,Time since last specific species isolate with resistance to nitrofurantoin,Micro: Time since last specific species isolate with resistance to nitrofurantoin
MICRO_amr_actual_species_piperacillin_tazobactam_count_last_365d,Micro,Count of specific species isolates with piperacillin-tazobactam resistance in last year,Micro: Count of specific species isolates with piperacillin-tazobactam resistance in last year
MICRO_amr_actual_species_piperacillin_tazobactam_time_last_365d,Micro,Time since last specific species isolate with resistance to piperacillin-tazobactam,Micro: Time since last specific species isolate with resistance to piperacillin-tazobactam
MICRO_amr_actual_species_trimethoprim_count_last_365d,Micro,Count of specific species isolates with trimethoprim resistance in last year,Micro: Count of specific species isolates with trimethoprim resistance in last year
MICRO_amr_actual_species_trimethoprim_time_last_365d,Micro,Time since last specific species isolate with resistance to trimethoprim,Micro: Time since last specific species isolate with resistance to trimethoprim
MICRO_amr_any_species_amoxicillin_count_last_365d,Micro,Count of  isolates with amoxicillin resistance in last year,Micro: Count of  isolates with amoxicillin resistance in last year
MICRO_amr_any_species_amoxicillin_time_last_365d,Micro,Time since last isolate with resistance to amoxicillin,Micro: Time since last isolate with resistance to amoxicillin
MICRO_amr_any_species_cefalexin_count_last_365d,Micro,Count of  isolates with cefalexin resistance in last year,Micro: Count of  isolates with cefalexin resistance in last year
MICRO_amr_any_species_cefalexin_time_last_365d,Micro,Time since last isolate with resistance to cefalexin,Micro: Time since last isolate with resistance to cefalexin
MICRO_amr_any_species_ceftriaxone_count_last_365d,Micro,Count of  isolates with ceftriaxone resistance in last year,Micro: Count of  isolates with ceftriaxone resistance in last year
MICRO_amr_any_species_ceftriaxone_time_last_365d,Micro,Time since last isolate with resistance to ceftriaxone,Micro: Time since last isolate with resistance to ceftriaxone
MICRO_amr_any_species_ciprofloxacin_count_last_365d,Micro,Count of  isolates with ciprofloxacin resistance in last year,Micro: Count of  isolates with ciprofloxacin resistance in last year
MICRO_amr_any_species_ciprofloxacin_time_last_365d,Micro,Time since last isolate with resistance to ciprofloxacin,Micro: Time since last isolate with resistance to ciprofloxacin
MICRO_amr_any_species_co_amoxiclav_count_last_365d,Micro,Count of  isolates with co-amoxiclav resistance in last year,Micro: Count of  isolates with co-amoxiclav resistance in last year
MICRO_amr_any_species_co_amoxiclav_time_last_365d,Micro,Time since last isolate with resistance to co-amoxiclav,Micro: Time since last isolate with resistance to co-amoxiclav
MICRO_amr_any_species_co_trimoxazole_count_last_365d,Micro,Count of  isolates with co-trimoxazole resistance in last year,Micro: Count of  isolates with co-trimoxazole resistance in last year
MICRO_amr_any_species_co_trimoxazole_time_last_365d,Micro,Time since last isolate with resistance to co-trimoxazole,Micro: Time since last isolate with resistance to co-trimoxazole
MICRO_amr_any_species_ertapenem_count_last_365d,Micro,Count of  isolates with ertapenem resistance in last year,Micro: Count of  isolates with ertapenem resistance in last year
MICRO_amr_any_species_ertapenem_time_last_365d,Micro,Time since last isolate with resistance to ertapenem,Micro: Time since last isolate with resistance to ertapenem
MICRO_amr_any_species_gentamicin_count_last_365d,Micro,Count of  isolates with gentamicin resistance in last year,Micro: Count of  isolates with gentamicin resistance in last year
MICRO_amr_any_species_gentamicin_time_last_365d,Micro,Time since last isolate with resistance to gentamicin,Micro: Time since last isolate with resistance to gentamicin
MICRO_amr_any_species_meropenem_count_last_365d,Micro,Count of  isolates with meropenem resistance in last year,Micro: Count of  isolates with meropenem resistance in last year
MICRO_amr_any_species_meropenem_time_last_365d,Micro,Time since last isolate with resistance to meropenem,Micro: Time since last isolate with resistance to meropenem
MICRO_amr_any_species_nitrofurantoin_count_last_365d,Micro,Count of  isolates with nitrofurantoin resistance in last year,Micro: Count of  isolates with nitrofurantoin resistance in last year
MICRO_amr_any_species_nitrofurantoin_time_last_365d,Micro,Time since last isolate with resistance to nitrofurantoin,Micro: Time since last isolate with resistance to nitrofurantoin
MICRO_amr_any_species_piperacillin_tazobactam_count_last_365d,Micro,Count of  isolates with piperacillin-tazobactam resistance in last year,Micro: Count of  isolates with piperacillin-tazobactam resistance in last year
MICRO_amr_any_species_piperacillin_tazobactam_time_last_365d,Micro,Time since last isolate with resistance to piperacillin-tazobactam,Micro: Time since last isolate with resistance to piperacillin-tazobactam
MICRO_amr_any_species_trimethoprim_count_last_365d,Micro,Count of  isolates with trimethoprim resistance in last year,Micro: Count of  isolates with trimethoprim resistance in last year
MICRO_amr_any_species_trimethoprim_time_last_365d,Micro,Time since last isolate with resistance to trimethoprim,Micro: Time since last isolate with resistance to trimethoprim
MICRO_micro_positive_any_species_count_blood_365d,Micro,Positive blood cultures in last year,Micro: Positive blood cultures in last year
MICRO_micro_positive_any_species_count_urine_365d,Micro,Positive urine cultures in last year,Micro: Positive urine cultures in last year
MICRO_micro_positive_specific_species_count_blood_365d,Micro,Blood cultures containing Enterobacterales in last year,Micro: Blood cultures containing Enterobacterales in last year
MICRO_micro_positive_specific_species_count_urine_365d,Micro,Urine cultures containing Enterobacterales in last year,Micro: Urine cultures containing Enterobacterales in last year
MICRO_micro_positive_specific_species_time_last_blood_365d,Micro,Time since last blood culture with Enterobacterales,Micro: Time since last blood culture with Enterobacterales
MICRO_micro_positive_specific_species_time_last_urine_365d,Micro,Time since last urine culture with Enterobacterales,Micro: Time since last urine culture with Enterobacterales
MICRO_micro_positive_time_last_blood_365d,Micro,Time since last positive blood culture,Micro: Time since last positive blood culture
MICRO_micro_positive_time_last_urine_365d,Micro,Time since last positive urine culture,Micro: Time since last positive urine culture
MICRO_micro_sample_count_blood_365d,Micro,Count of blood cultures sent in last year,Micro: Count of blood cultures sent in last year
MICRO_micro_sample_count_urine_365d,Micro,Count of urine cultures sent in last year,Micro: Count of urine cultures sent in last year
MICRO_micro_sample_time_last_blood_365d,Micro,Time since last blood culture sent,Micro: Time since last blood culture sent
MICRO_micro_sample_time_last_urine_365d,Micro,Time since last urine culture sent,Micro: Time since last urine culture sent
PERSONAL_last_bmi,Personal factors,Body mass index,Personal factors: Body mass index
PERSONAL_last_height,Personal factors,Height,Personal factors: Height
PERSONAL_last_weight,Personal factors,Weight,Personal factors: Weight
PREV_HOSP_STAY_adm_type_Elective,Hospital exposure,Elective admission,Hospital exposure: Elective admission
PREV_HOSP_STAY_adm_type_Emergency,Hospital exposure,Emergency admission,Hospital exposure: Emergency admission
PREV_HOSP_STAY_adm_type_Maternity,Hospital exposure,Maternity admission,Hospital exposure: Maternity admission
PREV_HOSP_STAY_adm_type_Other,Hospital exposure,Other admission,Hospital exposure: Other admission
PREV_HOSP_STAY_adm_type_Outpatient,Hospital exposure,Outpatient attendance,Hospital exposure: Outpatient attendance
PREV_HOSP_STAY_count_admissions_30d,Hospital exposure,Count of admissions in last 30 days,Hospital exposure: Count of admissions in last 30 days
PREV_HOSP_STAY_count_admissions_365d,Hospital exposure,Count of admissions in last year,Hospital exposure: Count of admissions in last year
PREV_HOSP_STAY_count_admissions_90d,Hospital exposure,Count of admissions in last 90 days,Hospital exposure: Count of admissions in last 90 days
PREV_HOSP_STAY_days_since_admission_at_index_dt,Hospital exposure,Days since start of admission,Hospital exposure: Days since start of admission
PREV_HOSP_STAY_sum_duration_d_admissions_30d,Hospital exposure,Days in hospital in last 30 days,Hospital exposure: Days in hospital in last 30 days
PREV_HOSP_STAY_sum_duration_d_admissions_365d,Hospital exposure,Days in hospital in last year,Hospital exposure: Days in hospital in last year
PREV_HOSP_STAY_sum_duration_d_admissions_90d,Hospital exposure,Days in hospital in last 90 days,Hospital exposure: Days in hospital in last 90 days
PROCEDURES_surgery_clean_any_365d,Procedures,Any clean surgery in last year,Procedures: Any clean surgery in last year
PROCEDURES_surgery_clean_contaminated_any_365d,Procedures,Any clean contaminated surgery in last year,Procedures: Any clean contaminated surgery in last year
PROCEDURES_surgery_contaminated_any_365d,Procedures,Any contaminated surgery in last year,Procedures: Any contaminated surgery in last year
PROCEDURES_urethral_catheter_code_any_365d,Procedures,Any urinary catheter code in last year,Procedures: Any urinary catheter code in last year
SPECIALTY_current_spec_Acute and general surgery,Specialty,Acute and general surgery,Specialty: Acute and general surgery
"SPECIALTY_current_spec_Acute, emergency and geriatric medicine",Specialty,"Acute, emergency and geriatric medicine","Specialty: Acute, emergency and geriatric medicine"
SPECIALTY_current_spec_Critical care,Specialty,Critical care,Specialty: Critical care
SPECIALTY_current_spec_Medical subspecialty,Specialty,Medical subspecialty,Specialty: Medical subspecialty
SPECIALTY_current_spec_Obstetrics,Specialty,Obstetrics,Specialty: Obstetrics
SPECIALTY_current_spec_Others,Specialty,Others,Specialty: Others
SPECIALTY_current_spec_Paedatrics,Specialty,Paedatrics,Specialty: Paedatrics
SPECIALTY_current_spec_Surgical subspecialty,Specialty,Surgical subspecialty,Specialty: Surgical subspecialty
SPECIALTY_current_spec_Trauma and orthopedics,Specialty,Trauma and orthopedics,Specialty: Trauma and orthopedics
VITALS_hr_count_24h,Vitals,Measurements obtained in last 24 hours,Vitals: Measurements obtained in last 24 hours
